# format: trackId, is-primary, nHits, pt, eta, pdg, q
255, 1, 0, 0.257904, 2.90134, 2212, 3.000000
256, 1, 0, 0.0747916, -4.63536, 2212, 3.000000
257, 1, 0, 0.191021, -3.74417, 2212, 3.000000
258, 1, 0, 0.308404, -3.28148, 2212, 3.000000
259, 1, 0, 1.58495, 1.11241, 2112, 0.000000
260, 1, 0, 0.160288, -3.4985, 2212, 3.000000
261, 1, 0, 0.321562, -3.34657, 2212, 3.000000
262, 1, 42, 1.67537, -1.41967, 2212, 3.000000
263, 1, 0, 0.434565, -3.07815, 2112, 0.000000
264, 1, 0, 0.0953004, -4.19061, 2212, 3.000000
265, 1, 0, 0.22819, -3.2539, 2212, 3.000000
266, 1, 39, 0.334937, -1.32668, 2212, 3.000000
267, 1, 0, 1.48311, -0.28538, 3222, 3.000000
268, 1, 0, 0.356986, -3.15009, 2212, 3.000000
269, 1, 0, 0.0768899, -4.51806, 2112, 0.000000
270, 1, 0, 0.187728, -3.78417, 2212, 3.000000
271, 1, 0, 0.443137, -1.72166, 3112, -3.000000
272, 1, 47, 0.488609, 0.105222, 2212, 3.000000
273, 1, 0, 0.724267, -1.62797, 2112, 0.000000
274, 1, 49, 1.10637, -0.187898, 2212, 3.000000
275, 1, 0, 0.758439, 1.60099, 2112, 0.000000
276, 1, 0, 0.208395, -3.54671, 2112, 0.000000
277, 1, 0, 0.0234622, -5.913, 2112, 0.000000
278, 1, 53, 0.739123, -0.692049, 2212, 3.000000
279, 1, 0, 0.734477, -2.07648, 2112, 0.000000
280, 1, 0, 0.436108, -2.36749, 2212, 3.000000
281, 1, 0, 0.41366, 1.26448, 2112, 0.000000
282, 1, 26, 1.44209, 1.75606, 2212, 3.000000
283, 1, 0, 0.268095, -3.07417, 2112, 0.000000
284, 1, 0, 0.151285, -4.09752, 2112, 0.000000
285, 1, 0, 0.649348, -1.73787, 2112, 0.000000
286, 1, 0, 0.542991, 1.7976, 2112, 0.000000
287, 1, 0, 0.331444, -1.96996, 3222, 3.000000
288, 1, 57, 0.897895, 0.990487, 2212, 3.000000
289, 1, 0, 1.09361, -1.60473, 2112, 0.000000
290, 1, 0, 0.530143, 0.578809, 2112, 0.000000
291, 1, 0, 0.101706, 2.66374, 2112, 0.000000
292, 1, 0, 0.356921, -2.94843, 2112, 0.000000
293, 1, 34, 1.009, -0.988154, 2212, 3.000000
294, 1, 0, 0.143711, -3.78752, 2112, 0.000000
295, 1, 0, 0.925345, -0.779898, 2112, 0.000000
296, 1, 0, 0.243845, 3.47425, 2112, 0.000000
297, 1, 37, 0.81691, -1.58079, 2212, 3.000000
298, 1, 0, 0.177573, -3.57618, 2112, 0.000000
299, 1, 0, 0.123576, -3.93042, 2112, 0.000000
300, 1, 0, 1.04652, 0.403295, 2112, 0.000000
301, 1, 0, 0.290147, -3.2631, 2212, 3.000000
302, 1, 0, 0.160896, -3.76308, 2112, 0.000000
303, 1, 0, 0.284608, -3.31864, 2112, 0.000000
304, 1, 0, 0.334244, -2.18645, 2112, 0.000000
305, 1, 0, 0.376492, 0.170535, 2112, 0.000000
306, 1, 0, 0.133365, -3.80816, 2112, 0.000000
307, 1, 0, 0.265653, -3.40756, 2112, 0.000000
308, 1, 52, 0.647589, -0.566714, 2212, 3.000000
309, 1, 0, 0.13535, -4.212, 2112, 0.000000
310, 1, 0, 0.220262, -3.64154, 2112, 0.000000
311, 1, 0, 0.110288, -4.26718, 2112, 0.000000
312, 1, 0, 0.511679, 2.36209, 2212, 3.000000
313, 1, 0, 0.317277, 2.2468, 2112, 0.000000
314, 1, 0, 0.236012, -3.25115, 2112, 0.000000
315, 1, 0, 0.115956, -4.20107, 2112, 0.000000
316, 1, 0, 0.133893, -3.80999, 2112, 0.000000
317, 1, 0, 0.230936, -3.15522, 2212, 3.000000
318, 1, 0, 0.655752, 1.12525, 2112, 0.000000
319, 1, 0, 0.123946, -3.97696, 2112, 0.000000
320, 1, 0, 0.155111, -3.59682, 2112, 0.000000
321, 1, 53, 0.957864, 0.00398321, 2212, 3.000000
